DSP Block Name,CE Net,RST Net,CLK Net,SHIFT_ENA Net,OP[0] Net,OP[1] Net,SHIFTER,SIGNED,RST_SYNC,C_EXT,P_EXT,A_REG,B_REG,C_REG,OP_REG,O_REG,P_REG,W_REG,CASCOUT_SEL,M_SEL,N_SEL,W_SEL,CE_POLARITY,CLK_POLARITY,RST_POLARITY,SHIFT_ENA_POLARITY
"u_rgb2cbcr/mult_15","gnd","rstn_sys","clk_sys","gnd","gnd","gnd",0,0,0,"ALIGN_RIGHT","ALIGN_RIGHT",1,0,0,0,0,1,0,"W","P","CASCIN","X",1,1,0,1
"u_rgb2cbcr/mult_16","gnd","rstn_sys","clk_sys","gnd","gnd","gnd",0,0,0,"ALIGN_RIGHT","ALIGN_RIGHT",1,0,0,0,0,1,0,"P","P","C","P",1,1,0,1
"u_rgb2cbcr/mult_17","gnd","rstn_sys","clk_sys","gnd","gnd","gnd",0,0,0,"ALIGN_RIGHT","ALIGN_RIGHT",1,0,0,0,0,1,0,"P","P","C","P",1,1,0,1
"u_rgb2cbcr/mult_18","gnd","rstn_sys","clk_sys","gnd","gnd","gnd",0,0,0,"ALIGN_RIGHT","ALIGN_RIGHT",1,0,0,0,0,1,0,"P","P","C","P",1,1,0,1
"u_rgb2cbcr/mult_19","gnd","rstn_sys","clk_sys","gnd","gnd","gnd",0,0,0,"ALIGN_RIGHT","ALIGN_RIGHT",1,0,0,0,0,1,0,"P","P","C","P",1,1,0,1
"u_rgb2cbcr/mult_20","gnd","rstn_sys","clk_sys","gnd","gnd","gnd",0,0,0,"ALIGN_RIGHT","ALIGN_RIGHT",1,0,0,0,1,1,1,"P","P","CASCIN","X",1,1,0,1
"u_rgb2cbcr/mult_21","gnd","rstn_sys","clk_sys","gnd","gnd","gnd",0,0,0,"ALIGN_RIGHT","ALIGN_RIGHT",1,0,0,0,0,1,0,"P","P","C","P",1,1,0,1
"u_yuv2rgb/mult_12","gnd","rstn_sys","clk_sys","gnd","gnd","gnd",0,0,0,"ALIGN_RIGHT","ALIGN_RIGHT",1,0,0,0,0,1,0,"P","P","C","P",1,1,0,1
"u_yuv2rgb/mult_13","gnd","rstn_sys","clk_sys","gnd","gnd","gnd",0,0,0,"ALIGN_RIGHT","ALIGN_RIGHT",1,0,0,0,0,1,0,"P","P","C","P",1,1,0,1
"u_yuv2rgb/mult_16","gnd","rstn_sys","clk_sys","gnd","gnd","gnd",0,0,0,"ALIGN_RIGHT","ALIGN_RIGHT",1,0,0,0,0,1,0,"P","P","C","P",1,1,0,1
"u_AWB/u_isp_wb/mult_12","gnd","rstn_sys","clk_sys","gnd","gnd","gnd",0,0,0,"ALIGN_RIGHT","ALIGN_RIGHT",1,0,0,0,0,1,0,"P","P","C","P",1,1,0,1
"u_AWB/u_isp_wb/mult_14","gnd","rstn_sys","clk_sys","gnd","gnd","gnd",0,0,0,"ALIGN_RIGHT","ALIGN_RIGHT",1,0,0,0,0,1,0,"P","P","C","P",1,1,0,1
