sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 06, 2025 08:55:35

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
example_top:example_top                                     	 11280(104)	    3350(0)	   3188(51)	 13057(243)	     0(0)	   134(0)	    23(1)	
 +ddr3_ctl_axi:DdrCtrl                                      	    2110(0)	     490(0)	     501(0)	    2636(0)	     0(0)	    30(0)	     0(0)	
  +u_efx_ddr3_soft_controller:efx_ddr3_soft_controller_08f78b88b985402c909273612d734444	    2110(0)	     490(0)	     501(0)	    2636(0)	     0(0)	    30(0)	     0(0)	
   +genblk1.inst_ddr3_axi:efx_ddr3_axi_08f78b88b985402c909273612d734444	  2110(193)	     490(0)	   501(128)	  2636(217)	     0(0)	    30(0)	     0(0)	
    +inst_arburst_fifo:Ddr_Ctrl_Sc_Fifo_08f78b88b985402c909273612d734444(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       8(8)	     12(12)	     22(22)	     0(0)	     0(0)	     0(0)	
    +u_rd_addr_fifo:Ddr_Ctrl_Sc_Fifo_08f78b88b985402c909273612d734444(DATA_DEPTH=32)	       7(7)	   116(116)	     12(12)	     87(87)	     0(0)	     0(0)	     0(0)	
    +u_wr_addr_fifo:Ddr_Ctrl_Sc_Fifo_08f78b88b985402c909273612d734444(DATA_WIDTH=48,DATA_DEPTH=32)	       7(7)	   124(124)	     12(12)	     99(99)	     0(0)	     0(0)	     0(0)	
    +inst_awid_fifo:Ddr_Ctrl_Sc_Fifo_08f78b88b985402c909273612d734444(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       0(0)	     12(12)	     13(13)	     0(0)	     0(0)	     0(0)	
    +inst_arid_fifo:Ddr_Ctrl_Sc_Fifo_08f78b88b985402c909273612d734444(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       0(0)	     12(12)	     13(13)	     0(0)	     0(0)	     0(0)	
    +inst_respon_fifo:Ddr_Ctrl_Sc_Fifo_08f78b88b985402c909273612d734444(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       0(0)	     12(12)	     14(14)	     0(0)	     0(0)	     0(0)	
    +inst_rd_brust_fifo:Ddr_Ctrl_Sc_Fifo_08f78b88b985402c909273612d734444(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	     32(32)	     12(12)	     33(33)	     0(0)	     0(0)	     0(0)	
