sep=\t
Module Resource Usage Distribution Estimates
Generated at: Jul 22, 2025 12:01:11

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
example_top:example_top                                     	   5330(41)	     700(0)	   1154(25)	   5267(46)	     0(0)	    69(0)	     1(1)	
 +ddr3_ctl_axi:DdrCtrl                                      	    2190(0)	     514(0)	     472(0)	    2551(0)	     0(0)	    27(0)	     0(0)	
  +u_efx_ddr3_soft_controller:efx_ddr3_soft_controller_5ee7df9aa375494db25875c4929bcb33	    2190(0)	     514(0)	     472(0)	    2551(0)	     0(0)	    27(0)	     0(0)	
   +genblk1.inst_ddr3_axi:efx_ddr3_axi_5ee7df9aa375494db25875c4929bcb33	  2190(321)	     514(0)	   472(128)	  2551(264)	     0(0)	    27(0)	     0(0)	
    +inst_arburst_fifo:Ddr_Ctrl_Sc_Fifo_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       8(8)	     12(12)	     21(21)	     0(0)	     0(0)	     0(0)	
    +u_rd_addr_fifo:Ddr_Ctrl_Sc_Fifo_5ee7df9aa375494db25875c4929bcb33(DATA_DEPTH=32)	       7(7)	   116(116)	     12(12)	     88(88)	     0(0)	     0(0)	     0(0)	
    +u_wr_addr_fifo:Ddr_Ctrl_Sc_Fifo_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=48,DATA_DEPTH=32)	       7(7)	   124(124)	     12(12)	     98(98)	     0(0)	     0(0)	     0(0)	
    +inst_awid_fifo:Ddr_Ctrl_Sc_Fifo_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       0(0)	     12(12)	     13(13)	     0(0)	     0(0)	     0(0)	
    +inst_arid_fifo:Ddr_Ctrl_Sc_Fifo_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       0(0)	     12(12)	     13(13)	     0(0)	     0(0)	     0(0)	
    +inst_respon_fifo:Ddr_Ctrl_Sc_Fifo_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       0(0)	     12(12)	     18(18)	     0(0)	     0(0)	     0(0)	
    +inst_rd_brust_fifo:Ddr_Ctrl_Sc_Fifo_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	     32(32)	     12(12)	     33(33)	     0(0)	     0(0)	     0(0)	
    +inst_rd_last_fifo:Ddr_Ctrl_Sc_Fifo_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	     32(32)	     12(12)	     33(33)	     0(0)	     0(0)	     0(0)	
    +inst_respon_len_fifo:Ddr_Ctrl_Sc_Fifo_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	     32(32)	     12(12)	     33(33)	     0(0)	     0(0)	     0(0)	
    +inst_efx_ddr3:top_5ee7df9aa375494db25875c4929bcb33     	  1806(187)	     170(0)	    236(64)	  1937(403)	     0(0)	    27(0)	     0(0)	
     +mux0:native_mux_5ee7df9aa375494db25875c4929bcb33      	       0(0)	       0(0)	       0(0)	   186(186)	     0(0)	     0(0)	     0(0)	
     +top_mc:controller_top_5ee7df9aa375494db25875c4929bcb33	   1598(27)	     168(0)	     172(0)	   1334(26)	     0(0)	    27(0)	     0(0)	
      +rst_ctrl0:reset_ctrl_5ee7df9aa375494db25875c4929bcb33(NUM_RST=4,CYCLE=4,IN_RST_ACTIVE=4'b0,OUT_RST_ACTIVE=4'b0)	      16(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
